角色一,角色二,交流台词段数,互动指数
李大嘴,邢育森,148,154
李大嘴,佟湘玉,1019,611
李大嘴,白展堂,1183,670
李大嘴,吕秀才,1095,1435
李大嘴,莫小贝,158,37
李大嘴,郭芙蓉,763,575
李大嘴,李大嘴,22,0
李大嘴,燕小六,266,268
李大嘴,祝无双,220,214
李大嘴,杨蕙兰,262,360
李大嘴,柳星雨,82,104
