角色一,角色二,交流台词段数,互动指数
吕秀才,邢育森,64,14
吕秀才,佟湘玉,791,561
吕秀才,白展堂,1051,894
吕秀才,吕秀才,20,0
吕秀才,莫小贝,249,184
吕秀才,郭芙蓉,2062,2693
吕秀才,李大嘴,1103,1440
吕秀才,燕小六,204,232
吕秀才,祝无双,432,1106
