角色一,角色二,交流台词段数,互动指数
白展堂,邢育森,451,328
白展堂,佟湘玉,3736,4223
白展堂,白展堂,76,0
白展堂,吕秀才,1025,848
白展堂,莫小贝,559,668
白展堂,郭芙蓉,1545,897
白展堂,李大嘴,1234,735
白展堂,燕小六,616,366
白展堂,祝无双,474,434
